Date,HomeTeam,AwayTeam,FTHG,FTAG,HA_Scored,Note
05/11/10,Schalke 04,St Pauli,3,0,0,0.25822242739102874
06/11/10,Ein Frankfurt,Wolfsburg,3,1,1,0.31412251695107984
06/11/10,Freiburg,Mainz,1,0,0,0.2917544642914947
06/11/10,Hamburg,Hoffenheim,2,1,1,0.41166877995624107
06/11/10,M'gladbach,Bayern Munich,3,3,1,0.29975992239793653
06/11/10,Nurnberg,FC Koln,3,1,1,0.40825666210756534
07/11/10,Hannover,Dortmund,0,4,0,0.20710686273992968
07/11/10,Leverkusen,Kaiserslautern,3,1,1,0.29608717060967193
07/11/10,Stuttgart,Werder Bremen,6,0,0,0.3116203573491011
12/11/10,Dortmund,Hamburg,2,0,0,0.2571986180175091
13/11/10,FC Koln,M'gladbach,0,4,0,0.3311334056898176
13/11/10,Kaiserslautern,Stuttgart,3,3,1,0.2825645578730717
13/11/10,Mainz,Hannover,0,1,0,0.12526992087145378
13/11/10,St Pauli,Leverkusen,0,1,0,0.26708676847441803
13/11/10,Werder Bremen,Ein Frankfurt,0,0,0,0.2817522896778691
13/11/10,Wolfsburg,Schalke 04,2,2,1,0.3509820264171688
14/11/10,Bayern Munich,Nurnberg,3,0,0,0.2737513209786729
14/11/10,Hoffenheim,Freiburg,0,1,0,0.3439845518015918
20/11/10,Ein Frankfurt,Hoffenheim,0,4,0,0.27356187425652756
20/11/10,Freiburg,Dortmund,1,2,1,0.34410609866040387
20/11/10,Hannover,Hamburg,3,2,1,0.29309497540009016
20/11/10,Leverkusen,Bayern Munich,1,1,1,0.2859693891019306
20/11/10,M'gladbach,Mainz,2,3,1,0.2941866691339641
20/11/10,Nurnberg,Kaiserslautern,1,3,1,0.4239030747158966
20/11/10,Schalke 04,Werder Bremen,4,0,0,0.2993176134281649
21/11/10,St Pauli,Wolfsburg,1,1,1,0.39279846195418644
21/11/10,Stuttgart,FC Koln,0,1,0,0.28765455027927095
26/11/10,Mainz,Nurnberg,3,0,0,0.2517371422962148
27/11/10,Bayern Munich,Ein Frankfurt,4,1,1,0.28458730877231386
27/11/10,Dortmund,M'gladbach,4,1,1,0.32339306228854214
27/11/10,Hamburg,Stuttgart,4,2,1,0.3756908682505278
27/11/10,Hannover,Freiburg,3,0,0,0.2814502007144457
27/11/10,Hoffenheim,Leverkusen,2,2,1,0.3474006601008949
27/11/10,Kaiserslautern,Schalke 04,5,0,0,0.25645044245571624
28/11/10,FC Koln,Wolfsburg,1,1,1,0.4714429309559972
28/11/10,Werder Bremen,St Pauli,3,0,0,0.25715125935288596
03/12/10,St Pauli,Kaiserslautern,1,0,0,0.28801987886543257
04/12/10,Ein Frankfurt,Mainz,2,1,1,0.24269254400002105
04/12/10,Freiburg,Hamburg,1,0,0,0.3681033984657299
04/12/10,M'gladbach,Hannover,1,2,1,0.35062539504272766
04/12/10,Schalke 04,Bayern Munich,2,0,0,0.23477049428514643
04/12/10,Stuttgart,Hoffenheim,1,1,1,0.3570890055855118
04/12/10,Wolfsburg,Werder Bremen,0,0,0,0.33516561285715574
05/12/10,Leverkusen,FC Koln,3,2,1,0.42215983122862766
05/12/10,Nurnberg,Dortmund,0,2,0,0.3301476788525862
10/12/10,Hannover,Stuttgart,2,1,1,0.33533642192907837
11/12/10,Bayern Munich,St Pauli,3,0,0,0.2038647854096366
11/12/10,Dortmund,Werder Bremen,2,0,0,0.1981127162995062
11/12/10,FC Koln,Ein Frankfurt,1,0,0,0.33006657884997814
11/12/10,Hamburg,Leverkusen,2,4,1,0.4457684985742808
11/12/10,Hoffenheim,Nurnberg,1,1,1,0.38828146753881965
11/12/10,Kaiserslautern,Wolfsburg,0,0,0,0.3293495470910446
12/12/10,Freiburg,M'gladbach,3,0,0,0.3301052656729685
12/12/10,Mainz,Schalke 04,0,1,0,0.1763447014332013
17/12/10,M'gladbach,Hamburg,1,2,1,0.46741567763787406
18/12/10,Ein Frankfurt,Dortmund,1,0,0,0.2178568211096332
18/12/10,Nurnberg,Hannover,3,1,1,0.36355137480325894
18/12/10,Schalke 04,FC Koln,3,0,0,0.238602405095872
18/12/10,St Pauli,Mainz,2,4,1,0.24643170138293513
18/12/10,Werder Bremen,Kaiserslautern,1,2,1,0.29629089756399063
18/12/10,Wolfsburg,Hoffenheim,2,2,1,0.4540398421822164
19/12/10,Leverkusen,Freiburg,2,2,1,0.4050988116590818
19/12/10,Stuttgart,Bayern Munich,3,5,1,0.3339157113085873
14/01/11,Leverkusen,Dortmund,1,3,1,0.40227314073962783
15/01/11,Nurnberg,M'gladbach,0,1,0,0.3582058940707914
15/01/11,Schalke 04,Hamburg,0,1,0,0.26241386236156916
15/01/11,St Pauli,Freiburg,2,2,1,0.3283352072573734
15/01/11,Stuttgart,Mainz,1,0,0,0.28673113219238805
